file_path,relative_path,class_label,file_extension,split_assigned,file_size_bytes,sha256_hash,width,height,color_mode,aspect_ratio,channels,phash,dhash,is_valid,error_flag,image_format,file_count,split_count,class_count,cross_split,label_conflict
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Testing\glioma\Te-gl_32.jpg,Testing/glioma/Te-gl_32.jpg,glioma,.jpg,test,17778,04aa41d8514362877d7f8fd81e543bc8584e4a6ba1ac025c2f37515f32abd9b0,249,238,RGB,1.046218487394958,3,801f157e5bda9a98,68c6abc9494dad9a,True,,JPEG,2,1,1,False,False
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Testing\glioma\Te-gl_389.jpg,Testing/glioma/Te-gl_389.jpg,glioma,.jpg,test,17778,04aa41d8514362877d7f8fd81e543bc8584e4a6ba1ac025c2f37515f32abd9b0,249,238,RGB,1.046218487394958,3,801f157e5bda9a98,68c6abc9494dad9a,True,,JPEG,2,1,1,False,False
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\notumor\Tr-no_1046.jpg,Training/notumor/Tr-no_1046.jpg,notumor,.jpg,train,35982,05ec18666c6b751b8845a93824ea25c9bb251606b71f76c0c3875d69e973f72d,354,443,RGB,0.7990970654627539,3,c23b3fe22cc13497,31f8e8e8e8e8e870,True,,JPEG,2,1,1,False,False
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\notumor\Tr-no_454.jpg,Training/notumor/Tr-no_454.jpg,notumor,.jpg,train,35982,05ec18666c6b751b8845a93824ea25c9bb251606b71f76c0c3875d69e973f72d,354,443,RGB,0.7990970654627539,3,c23b3fe22cc13497,31f8e8e8e8e8e870,True,,JPEG,2,1,1,False,False
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_97.jpg,Training/meningioma/Tr-aug-me_97.jpg,meningioma,.jpg,train,26954,089a7ad8107e9ef50fc7c35e7407b18fcda170be3707749807a059a5cb46b3a8,512,512,L,1.0,1,81de4e8b5e8e3a4c,e0ccaaf2b2cec4c4,True,,JPEG,2,1,1,False,False
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\meningioma\Tr-me_532.jpg,Training/meningioma/Tr-me_532.jpg,meningioma,.jpg,train,26954,089a7ad8107e9ef50fc7c35e7407b18fcda170be3707749807a059a5cb46b3a8,512,512,L,1.0,1,81de4e8b5e8e3a4c,e0ccaaf2b2cec4c4,True,,JPEG,2,1,1,False,False
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\meningioma\Tr-me_1101.jpg,Training/meningioma/Tr-me_1101.jpg,meningioma,.jpg,train,21706,09b9031e30e757eb6e648686f0ca412357e86895ebbc52d300d2d0a9305fd417,512,512,RGB,1.0,3,97876a4c619b256d,b060dcd8e0d479b2,True,,JPEG,2,1,1,False,False
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\meningioma\Tr-me_836.jpg,Training/meningioma/Tr-me_836.jpg,meningioma,.jpg,train,21706,09b9031e30e757eb6e648686f0ca412357e86895ebbc52d300d2d0a9305fd417,512,512,RGB,1.0,3,97876a4c619b256d,b060dcd8e0d479b2,True,,JPEG,2,1,1,False,False
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_89.jpg,Training/meningioma/Tr-aug-me_89.jpg,meningioma,.jpg,train,14066,0f673459b5dba7f9dab9a6a32309e2c89ddf4bb9b799d3350f56c33e8cc8b2d3,512,512,L,1.0,1,966d699631cb9398,c4b269f4dcecf092,True,,JPEG,2,1,1,False,False
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\meningioma\Tr-me_889.jpg,Training/meningioma/Tr-me_889.jpg,meningioma,.jpg,train,14066,0f673459b5dba7f9dab9a6a32309e2c89ddf4bb9b799d3350f56c33e8cc8b2d3,512,512,L,1.0,1,966d699631cb9398,c4b269f4dcecf092,True,,JPEG,2,1,1,False,False
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\notumor\Tr-no_1330.jpg,Training/notumor/Tr-no_1330.jpg,notumor,.jpg,train,28639,1180fefcd5ba2a8f43c541c3158c3d6b3edb8309eab8dc9c61f109d10d5b5050,468,444,RGB,1.054054054054054,3,c22f2b343f603f70,70f1e8e8a8c4d4c9,True,,JPEG,2,1,1,False,False
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\notumor\Tr-no_825.jpg,Training/notumor/Tr-no_825.jpg,notumor,.jpg,train,28639,1180fefcd5ba2a8f43c541c3158c3d6b3edb8309eab8dc9c61f109d10d5b5050,468,444,RGB,1.054054054054054,3,c22f2b343f603f70,70f1e8e8a8c4d4c9,True,,JPEG,2,1,1,False,False
