relative_path_a,relative_path_b,split_a,split_b,class_a,class_b,phash_distance,dhash_distance,cross_split,different_class
Training/glioma/Tr-gl_1057.jpg,Testing/glioma/Te-gl_311.jpg,train,test,glioma,glioma,0,0,True,False
Training/glioma/Tr-gl_1271.jpg,Testing/glioma/Te-gl_169.jpg,train,test,glioma,glioma,0,0,True,False
Training/glioma/Tr-gl_361.jpg,Testing/glioma/Te-gl_299.jpg,train,test,glioma,glioma,0,0,True,False
Training/glioma/Tr-gl_361.jpg,Testing/glioma/Te-gl_364.jpg,train,test,glioma,glioma,0,0,True,False
Training/glioma/Tr-gl_420.jpg,Testing/glioma/Te-gl_233.jpg,train,test,glioma,glioma,0,0,True,False
Training/meningioma/Tr-me_1044.jpg,Testing/meningioma/Te-me_157.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1044.jpg,Testing/meningioma/Te-me_230.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1057.jpg,Testing/meningioma/Te-me_270.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1069.jpg,Testing/meningioma/Te-me_2.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1069.jpg,Testing/meningioma/Te-me_252.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1083.jpg,Testing/meningioma/Te-me_5.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_109.jpg,Testing/meningioma/Te-me_30.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1091.jpg,Testing/meningioma/Te-me_95.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_110.jpg,Testing/meningioma/Te-me_111.jpg,train,test,meningioma,meningioma,2,0,True,False
Training/meningioma/Tr-me_110.jpg,Testing/meningioma/Te-me_174.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1110.jpg,Testing/meningioma/Te-me_42.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1112.jpg,Testing/meningioma/Te-me_165.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1121.jpg,Testing/meningioma/Te-me_86.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1122.jpg,Testing/meningioma/Te-me_159.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1127.jpg,Testing/meningioma/Te-me_272.jpg,train,test,meningioma,meningioma,2,0,True,False
Training/meningioma/Tr-me_1146.jpg,Testing/meningioma/Te-me_241.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1163.jpg,Testing/meningioma/Te-me_274.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1166.jpg,Testing/meningioma/Te-me_31.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1168.jpg,Testing/meningioma/Te-me_71.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1194.jpg,Testing/meningioma/Te-me_158.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1198.jpg,Testing/meningioma/Te-me_66.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1225.jpg,Testing/meningioma/Te-me_20.jpg,train,test,meningioma,meningioma,2,0,True,False
Training/meningioma/Tr-me_1225.jpg,Testing/meningioma/Te-me_39.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1249.jpg,Testing/meningioma/Te-me_266.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_126.jpg,Testing/meningioma/Te-me_265.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1262.jpg,Testing/meningioma/Te-me_207.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1282.jpg,Testing/meningioma/Te-me_125.jpg,train,test,meningioma,meningioma,0,1,True,False
Training/meningioma/Tr-me_1285.jpg,Testing/meningioma/Te-aug-me_1.jpg,train,test,meningioma,meningioma,0,6,True,False
Training/meningioma/Tr-me_1286.jpg,Testing/meningioma/Te-me_4.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1289.jpg,Testing/meningioma/Te-me_285.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_1290.jpg,Testing/meningioma/Te-me_37.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_131.jpg,Testing/meningioma/Te-me_93.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_145.jpg,Testing/meningioma/Te-me_296.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_154.jpg,Testing/meningioma/Te-me_52.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_158.jpg,Testing/meningioma/Te-me_231.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_167.jpg,Testing/meningioma/Te-me_276.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_19.jpg,Testing/meningioma/Te-me_184.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_200.jpg,Testing/meningioma/Te-me_54.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_205.jpg,Testing/meningioma/Te-me_232.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_238.jpg,Testing/meningioma/Te-me_157.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_238.jpg,Testing/meningioma/Te-me_230.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_239.jpg,Testing/meningioma/Te-me_167.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_257.jpg,Testing/meningioma/Te-me_23.jpg,train,test,meningioma,meningioma,32,0,True,False
Training/meningioma/Tr-me_3.jpg,Testing/meningioma/Te-me_195.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_330.jpg,Testing/meningioma/Te-me_216.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_331.jpg,Testing/meningioma/Te-me_18.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_339.jpg,Testing/meningioma/Te-me_116.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_339.jpg,Testing/meningioma/Te-me_235.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_36.jpg,Testing/meningioma/Te-me_1.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_373.jpg,Testing/meningioma/Te-me_20.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_373.jpg,Testing/meningioma/Te-me_39.jpg,train,test,meningioma,meningioma,2,0,True,False
Training/meningioma/Tr-me_377.jpg,Testing/meningioma/Te-aug-me_83.jpg,train,test,meningioma,meningioma,0,5,True,False
Training/meningioma/Tr-me_404.jpg,Testing/meningioma/Te-me_101.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_421.jpg,Testing/meningioma/Te-me_202.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_421.jpg,Testing/meningioma/Te-me_208.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_424.jpg,Testing/meningioma/Te-me_49.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_432.jpg,Testing/meningioma/Te-me_179.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_432.jpg,Testing/meningioma/Te-me_198.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_437.jpg,Testing/meningioma/Te-me_197.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_450.jpg,Testing/meningioma/Te-me_251.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_453.jpg,Testing/meningioma/Te-me_171.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_458.jpg,Testing/glioma/Te-gl_68.jpg,train,test,meningioma,glioma,0,0,True,True
Training/meningioma/Tr-me_458.jpg,Testing/meningioma/Te-me_50.jpg,train,test,meningioma,meningioma,2,0,True,False
Training/meningioma/Tr-me_458.jpg,Testing/meningioma/Te-me_61.jpg,train,test,meningioma,meningioma,2,0,True,False
Training/meningioma/Tr-me_458.jpg,Testing/meningioma/Te-me_96.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_464.jpg,Testing/meningioma/Te-me_214.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_464.jpg,Testing/meningioma/Te-me_262.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_465.jpg,Testing/meningioma/Te-me_202.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_465.jpg,Testing/meningioma/Te-me_208.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_468.jpg,Testing/glioma/Te-gl_68.jpg,train,test,meningioma,glioma,2,0,True,True
Training/meningioma/Tr-me_468.jpg,Testing/meningioma/Te-me_50.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_468.jpg,Testing/meningioma/Te-me_61.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_468.jpg,Testing/meningioma/Te-me_96.jpg,train,test,meningioma,meningioma,2,0,True,False
Training/meningioma/Tr-me_472.jpg,Testing/meningioma/Te-me_190.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_479.jpg,Testing/meningioma/Te-me_278.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_486.jpg,Testing/meningioma/Te-me_8.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_489.jpg,Testing/meningioma/Te-me_213.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_497.jpg,Testing/meningioma/Te-me_228.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_50.jpg,Testing/meningioma/Te-me_277.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_52.jpg,Testing/meningioma/Te-me_187.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_530.jpg,Testing/meningioma/Te-me_105.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_534.jpg,Testing/meningioma/Te-me_116.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_534.jpg,Testing/meningioma/Te-me_235.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_543.jpg,Testing/meningioma/Te-me_2.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_543.jpg,Testing/meningioma/Te-me_252.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_553.jpg,Testing/meningioma/Te-me_259.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_557.jpg,Testing/meningioma/Te-me_138.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_561.jpg,Testing/meningioma/Te-me_179.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_561.jpg,Testing/meningioma/Te-me_198.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_583.jpg,Testing/meningioma/Te-me_82.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_586.jpg,Testing/meningioma/Te-me_152.jpg,train,test,meningioma,meningioma,0,4,True,False
Training/meningioma/Tr-me_597.jpg,Testing/meningioma/Te-me_290.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_616.jpg,Testing/meningioma/Te-me_180.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_639.jpg,Testing/meningioma/Te-me_214.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_639.jpg,Testing/meningioma/Te-me_262.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_661.jpg,Testing/meningioma/Te-me_205.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_666.jpg,Testing/meningioma/Te-me_137.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_678.jpg,Testing/meningioma/Te-me_62.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_684.jpg,Testing/meningioma/Te-me_29.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_688.jpg,Testing/meningioma/Te-me_229.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_688.jpg,Testing/meningioma/Te-me_293.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_706.jpg,Testing/meningioma/Te-me_121.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_714.jpg,Testing/glioma/Te-gl_68.jpg,train,test,meningioma,glioma,2,0,True,True
Training/meningioma/Tr-me_714.jpg,Testing/meningioma/Te-me_50.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_714.jpg,Testing/meningioma/Te-me_61.jpg,train,test,meningioma,meningioma,0,0,True,False
Training/meningioma/Tr-me_714.jpg,Testing/meningioma/Te-me_96.jpg,train,test,meningioma,meningioma,2,0,True,False
