file_path,relative_path,class_label,file_extension,split_assigned,file_size_bytes,sha256_hash,width,height,color_mode,aspect_ratio,channels,phash,dhash,is_valid,error_flag,image_format
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1.jpg,Training/glioma/Tr-gl_1.jpg,glioma,.jpg,train,20892,5ac3fbd85891bf49b4c337ea49d7f382698f960c046a3db1de408a9b2998621a,512,512,L,1.0,1,d01f2b693cb46d70,70d8d4a4b0e8cccc,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_10.jpg,Training/glioma/Tr-gl_10.jpg,glioma,.jpg,train,26456,1941099deff1ed62185051bc1eb912abc87af9ff403390ad9b1e2fbfe44a0fef,512,512,L,1.0,1,c09e6b8d2f8b6c2c,61dcb0a8b6d4d080,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_100.jpg,Training/glioma/Tr-gl_100.jpg,glioma,.jpg,train,20150,544aa9e1829e61d95d5c2b68863dd2bd98bb44eaa198226ee55603218a1f485d,512,512,L,1.0,1,c03f2f3d36e43292,02f1d8e4ccf0d4d0,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1000.jpg,Training/glioma/Tr-gl_1000.jpg,glioma,.jpg,train,24892,88b2a7e2adcc2f9b23ef908bb3063f2585068b350ab86a26f32fb3ab02667553,512,512,L,1.0,1,c0967e493e8e2d6c,61d4a2e4a2929230,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1001.jpg,Training/glioma/Tr-gl_1001.jpg,glioma,.jpg,train,14756,48a0ad607d04b380ae7c8a40558677f63351ea6696b706cf6d117a515ad18785,512,512,L,1.0,1,93cf6c906166b63c,b270e8c8d8f87192,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1002.jpg,Training/glioma/Tr-gl_1002.jpg,glioma,.jpg,train,14106,dd00d89233f404ed4f8b4787b151a68befd2cc3efe5da630c130d28cdb991d3a,512,512,L,1.0,1,936a6cb161c6338f,82f0e8d4d4dcf0b2,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1003.jpg,Training/glioma/Tr-gl_1003.jpg,glioma,.jpg,train,20203,97aa04dc24789b81bcb1abdbbb96b37ca971252079a9dac50b44318181fed893,512,512,L,1.0,1,97696a3c69a33463,32f0cce8d4fcec68,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1004.jpg,Training/glioma/Tr-gl_1004.jpg,glioma,.jpg,train,19251,db97040f6fe73fde4a7953a76fb1ba1d59debfe73e53c63c9763e36d2c0abf39,512,512,RGB,1.0,3,c33c2ce130c7667b,b6f0e8d4d8c860b2,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1005.jpg,Training/glioma/Tr-gl_1005.jpg,glioma,.jpg,train,13430,ffccb350b1c9ddcc6ad393e1fa999ce672803d3f0d4e2014412a6fe339cef517,512,512,L,1.0,1,c36d2db030c333dd,9472c9d4d4c870b2,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1006.jpg,Training/glioma/Tr-gl_1006.jpg,glioma,.jpg,train,20486,bb1da64a8aba9ce85e725c7a9abf54b8ed1136b6b699d391d53a6e3e9c4cb4bc,512,512,L,1.0,1,916f6e6c39272730,b270ccc894e8ece8,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1007.jpg,Training/glioma/Tr-gl_1007.jpg,glioma,.jpg,train,15202,ac351c84fb6bd5058eebe90141c50bf043c4b327b51f4e434de9ef9284c3ded9,512,512,L,1.0,1,966f6bb16116349a,b261ccd4d0d470b2,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1008.jpg,Training/glioma/Tr-gl_1008.jpg,glioma,.jpg,train,14606,22e90c3dbdb61992cf8447bb04857cae0cecbb0b481e172702740cbef6a79b2d,512,512,L,1.0,1,9e4968966172e793,92f069f0e87469b2,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1009.jpg,Training/glioma/Tr-gl_1009.jpg,glioma,.jpg,train,21477,ff0d52dc161d0c27cfdf15b01f5ed17022df5797e04af474f06c2048cd69d966,512,512,L,1.0,1,c40e6f283f0d7d34,61d4a6f2ac92c644,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_101.jpg,Training/glioma/Tr-gl_101.jpg,glioma,.jpg,train,18493,f13f0f0e1738bf114dcfb9237a5847c826660de43b4ae35f06bee755610d3359,512,512,L,1.0,1,956a3b6ca4633786,8270ccd4e8f0d8cc,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1010.jpg,Training/glioma/Tr-gl_1010.jpg,glioma,.jpg,train,18662,96bf92fdb9d4fabd1c5a4a68843b5d733d751910730c99ab72889d4e5fafd135,512,512,L,1.0,1,904e3f7168656766,b2f0c4f0d4c8f4d4,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1011.jpg,Training/glioma/Tr-gl_1011.jpg,glioma,.jpg,train,22545,e99b95416e9f1dacf0ca4b30d61c6084e6942b1359bca36a012bdc94bdc20a3b,512,512,L,1.0,1,c01b2b3d2fb5346c,62c994c8e494c0c0,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1012.jpg,Training/glioma/Tr-gl_1012.jpg,glioma,.jpg,train,24402,5fd6c11c6382af6ea66a1e9c336616d2f38f2d00235dcac90018e6cf4e401364,512,512,L,1.0,1,d14e42096fa72d5d,e194a26092929898,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1013.jpg,Training/glioma/Tr-gl_1013.jpg,glioma,.jpg,train,15806,684a20ec59ebb6e76e9e0a256b0d5c4a8467f8787e2d0266841c6ced871e9d48,512,512,L,1.0,1,929e39cb612d6665,b078ecc4cce070b2,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1014.jpg,Training/glioma/Tr-gl_1014.jpg,glioma,.jpg,train,24275,c4816b8570228e8f92e41f8fafe01b750e6c1a7c0c2face8b7493a14f99c6470,512,512,RGB,1.0,3,864a2f2d38e6783d,71d4cce8f0ecec70,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1015.jpg,Training/glioma/Tr-gl_1015.jpg,glioma,.jpg,train,24851,ec79f3b111af571730d00c2fb05589ddc73b1bd260205abd7d2aea87dd1e43f4,512,512,L,1.0,1,d51a4a092f6d5b35,e18cb8e2b49ab2e0,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1016.jpg,Training/glioma/Tr-gl_1016.jpg,glioma,.jpg,train,16768,002f4403eb07288c2ebdffcd4a3247543f5fd976767223c3843e249ebfe45d49,512,512,L,1.0,1,96962dc3615931ed,b068d4d8c4dc71b2,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1017.jpg,Training/glioma/Tr-gl_1017.jpg,glioma,.jpg,train,13217,7d7f906c6affd339310964c4c58430a116697372b9872a51f95a524d752276bc,512,512,L,1.0,1,96cb6994346b9365,84f269c4d4e8f084,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1018.jpg,Training/glioma/Tr-gl_1018.jpg,glioma,.jpg,train,29988,d4d7eb03b8a953c7219ad3702151fd072d64957f5c4590550448e36c935784c8,512,512,RGB,1.0,3,c21b6f2d3cb17864,72c8d8d8e0e8c8cc,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1019.jpg,Training/glioma/Tr-gl_1019.jpg,glioma,.jpg,train,17227,ae817a77352a3aaf943004cb7d80f453c1b7b89f0113557ff58d662cc59733ae,512,512,L,1.0,1,93923dcb646d266c,b078f0e8c4e870b2,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_102.jpg,Training/glioma/Tr-gl_102.jpg,glioma,.jpg,train,18765,588961631275c62c0d56ec26465a7bdf73faa025e31c18b90d84e9bf29e201db,512,512,L,1.0,1,c6616e373c963193,26e1d0e8d4d86061,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1020.jpg,Training/glioma/Tr-gl_1020.jpg,glioma,.jpg,train,23107,01e69989dba1488ee15f4985d0cbe9439d22489e4955cb3573b0fa9612b9aba1,512,512,L,1.0,1,c08f7b056e8b356c,61c4aaa4b6d498a0,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1021.jpg,Training/glioma/Tr-gl_1021.jpg,glioma,.jpg,train,17698,4f5607ef1690681bd81330df0ed15ded60994bd263506b370d84256457f75d1d,512,512,L,1.0,1,97687e3968e13067,31f0c4c8c4dccc68,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1022.jpg,Training/glioma/Tr-gl_1022.jpg,glioma,.jpg,train,19521,9d174b78bf7f5adedac15699c15096b89458499961b9e289704b6a7afe4b0108,512,512,L,1.0,1,954a6a3d79673831,70d4d4e8f2e8e8f0,True,,JPEG
C:\Users\pedro\Desktop\Projeto do TCC\Brain Tumor MRI Dataset\Training\glioma\Tr-gl_1023.jpg,Training/glioma/Tr-gl_1023.jpg,glioma,.jpg,train,25812,8931705e8895dfd0bb2f8510254f645e2aa0290d3276990da694c37bb22d4c2a,512,512,L,1.0,1,c00f4b486fb76c3c,e1d0acc4b494d8f0,True,,JPEG
