file_path,dimensions,color_mode,is_valid,error_flag,class_label,file_extension,aspect_ratio,channels,split_assigned,file_size_bytes,sha256_hash,phash,dhash
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_1.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,17624,e3f9ed802e33f06f97d6372201b8d7549ebfe8b24ec1c9fac184d6db2eb71880,91627e2579d165c6,30f8c8d8dade70b1
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_10.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,22543,7c76187c5483f47479d962553ad0e41e7411fb949752aa1ee23003d38c9fa2ef,c2c22f876c9e319b,60e8c8f4cccce832
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_100.jpg,"(512, 512)",L,True,,meningioma,.jpg,1.0,1,train,23333,bae057adae86b07a451d1dda48ad4d5cc2f3df8231046a56e83a4bc3fbe143ee,d04f2b876f2d3426,e1d8ac94e49cd090
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_11.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,24716,b1737294310774d3ff185e6f5ac909856792beb80406e250c6257ea18ebb2bb4,95e43e872a8f619a,eed4d6e2aad2f439
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_12.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,25307,0615336a3a790d004a69464533500c3f751ae1896227fc94050ae92055e123e7,d54b4aef49692741,c150081414060e98
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_13.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,23484,be311e134c1ecb5a2b1c54a637be3fdc1f9478c86cf0ff81994af636d501e3be,951f3e526b60683b,38ecf2cecae4fcf8
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_14.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,25050,428de1d6127d05e900bba8e224c889cadce08ce1d7855cf90d0443a5bc30e458,c0580fa97d277cac,e1d8a086b69fcce5
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_15.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,23392,b374b2eaaa26536ef3f286950fe83ac53283437477bdb2d0c6127e23f408b440,d06a2b3d3fa47832,62c1a4c4d8baaa88
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_16.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,23900,3ca50538c2f1e669a4898e99fe4699b8e9884671689ff469b305beeab51a1661,d0e06bc73d1e64d8,e1c094b4d8c4f833
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_17.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,22957,a1859abd8bde50367403f5ec4f3fdb21e6f7bdf69d9b9dc19582d35c07910251,d0606ba53d36f0d6,c1c88cb8d4c8e471
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_18.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,24097,640ec5310f19c9a43f0eaeb5967c76b657dde7341bfef749836f0878d2fc6d9d,85786e1979e539a1,b164ceced8f8cccc
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_19.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,21665,677f4096ad508cb37e84352be17f1e50637d14de7f6991029d7ece42b6ee9eb9,96492f3e693e603c,70f0d4c8d4ec6464
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_2.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,18940,a902146245b78be12e1ea3756c9fed28bb76868e64a735331cbf2050ba67fa62,969e3ac1699b64c6,7864e4f0cce8d871
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_20.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,26371,51eaab66e0daca0e5e1734d2898e47623fb43a9a5cd200667b506e5c19820745,815f6a396aac79a4,71ccfaaaeabaaeaa
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_21.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,21903,bbc4a70b78085a0bdc003bdb33312c0f204671b2ef39711e90bf0cf81376caef,957a3f682d706562,39e8c8bceac4cccc
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_22.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,22607,00c8c3d53ff580796f5f765216735b7fb18da88eaacf5957b20c6ea1a6e33981,857a7a2d7cad3034,21f0d8e2c6d6d2c8
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_23.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,23251,a8a34c2891545dba6ee909c7544a1913b595905f80390e441311f1e1e0957530,853e786863722da7,09706ccdc6f2f0c0
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_24.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,22112,a507cd4b83f9e9bfaeaf2fd52ec78be0ea7555ef9425aaddb72c51cfe5fda35d,85593e2a7da560b5,31e0d4e2eaeed474
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_25.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,26069,33a007635d12454623593e931ab4a71d875c7f815f718042336658d8c7f6c58e,855a3f1d7826782d,61c0e484b28aeee6
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_26.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,14947,77dcdc83af80b8b1a9114e42a06e69c4e797c35ca57dbc7e92fb8ab20adee9b0,9734686e319367c5,9270e8c8c8e871b2
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_27.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,23645,bf869906a484c9d578d1e85b4b7e5de35d0c0e0c76ee04f2264d8664d2d9fd8a,d09f2f4a3c397261,79e4ccbc94c0898c
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_28.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,20391,97f6d535a7a8bcc7d12e408745fcedce38b33e9d8ef05539d020d6b0ead67273,d0d02e1b6d6c1f39,70dca8a4d8f8f0cc
C:\Users\pedro\Desktop\TCC 1\Brain Tumor MRI Dataset\Training\meningioma\Tr-aug-me_29.jpg,"(512, 512)",RGB,True,,meningioma,.jpg,1.0,3,train,18687,3a7905745a9e1e3749f10d3743c19cad39dd25f732c2216267edf23e28ed4a42,95947acb616b632c,90f464d2d8cc7112
